Stock,enviroment,risk,management,communication,result follow-up,year
AFC,7,6,3,4,8,2017
B52,8,6,6,8,8,2017
BTNC,8,5,6,5,8,2017
CPH,7,0,1,3,8,2017
CPL,6,4,3,2,8,2017
ICC,8,6,6,9,8,2017
NC,8,6,6,9,8,2017
PAF,8,6,4,7,8,2017
PDJ,8,5,5,8,8,2017
PG,8,5,6,8,8,2017
SABINA,8,5,6,9,8,2017
SAWANG,8,5,6,9,8,2017
SUC,8,5,6,9,8,2017
TNL,8,5,6,9,8,2017
TPCORP,8,6,6,9,8,2017
TR,8,6,6,7,8,2017
TTI,5,5,5,8,8,2017
UPF,8,6,5,6,7,2017
UT,8,5,4,7,8,2017
WACOAL *,7,5,6,7,8,2017
ACC,7,5,5,7,8,2017
AJA,7,2,6,7,8,2017
DTCI,8,6,6,6,8,2017
FANCY,8,6,6,4,8,2017
KYE,8,6,6,9,8,2017
L&E,8,6,6,9,8,2017
MODERN,8,6,6,9,8,2017
OGC,8,6,6,9,8,2017
ROCK,8,6,6,9,8,2017
SIAM,8,6,6,9,8,2017
TSR,8,4,6,9,8,2017
APCO,8,3,6,6,8,2017
DDD,7,6,6,8,8,2017
JCT,7,3,6,6,8,2017
OCC,8,6,6,8,8,2017
S & J,7,3,6,8,8,2017
TNR,8,3,6,6,8,2017
TOG,8,6,6,7,8,2017
AFC,7,6,3,4,8,2018
B52,8,6,6,8,8,2018
BTNC,8,5,6,5,8,2018
CPH,7,0,1,3,8,2018
CPL,6,4,3,2,8,2018
ICC,8,6,6,9,8,2018
NC,8,6,6,9,8,2018
PAF,8,6,4,7,8,2018
PDJ,8,5,5,8,8,2018
PG,8,5,6,8,8,2018
SABINA,8,5,6,9,8,2018
SAWANG,8,5,6,9,8,2018
SUC,8,5,6,9,8,2018
TNL,8,5,6,9,8,2018
TPCORP,8,6,6,9,8,2018
TR,8,6,6,7,8,2018
TTI,5,5,5,8,8,2018
UPF,8,6,5,6,7,2018
UT,8,5,4,7,8,2018
WACOAL *,7,5,6,7,8,2018
ACC,7,5,5,7,8,2018
AJA,7,2,6,7,8,2018
DTCI,8,6,6,6,8,2018
FANCY,8,6,6,4,8,2018
KYE,8,6,6,9,8,2018
L&E,8,6,6,9,8,2018
MODERN,8,6,6,9,8,2018
OGC,8,6,6,9,8,2018
ROCK,8,6,6,9,8,2018
SIAM,8,6,6,9,8,2018
TSR,8,4,6,9,8,2018
APCO,8,3,6,6,8,2018
DDD,7,6,6,8,8,2018
JCT,7,3,6,6,8,2018
OCC,8,6,6,8,8,2018
S & J,7,3,6,8,8,2018
TNR,8,3,6,6,8,2018
TOG,8,6,6,7,8,2018
AFC,7,6,3,4,8,2019
B52,8,6,6,8,8,2019
BTNC,8,5,6,5,8,2019
CPH,7,0,1,3,8,2019
CPL,6,4,3,2,8,2019
ICC,8,6,6,9,8,2019
NC,8,6,6,9,8,2019
PAF,8,6,4,7,8,2019
PDJ,8,5,5,8,8,2019
PG,8,5,6,8,8,2019
SABINA,8,5,6,9,8,2019
SAWANG,8,5,6,9,8,2019
SUC,8,5,6,9,8,2019
TNL,8,5,6,9,8,2019
TPCORP,8,6,6,9,8,2019
TR,8,6,6,7,8,2019
TTI,5,5,5,8,8,2019
UPF,8,6,5,6,7,2019
UT,8,5,4,7,8,2019
WACOAL *,7,5,6,7,8,2019
ACC,7,5,5,7,8,2019
AJA,7,2,6,7,8,2019
DTCI,8,6,6,6,8,2019
FANCY,8,6,6,4,8,2019
KYE,8,6,6,9,8,2019
L&E,8,6,6,9,8,2019
MODERN,8,6,6,9,8,2019
OGC,8,6,6,9,8,2019
ROCK,8,6,6,9,8,2019
SIAM,8,6,6,9,8,2019
TSR,8,4,6,9,8,2019
APCO,8,3,6,6,8,2019
DDD,7,6,6,8,8,2019
JCT,7,3,6,6,8,2019
OCC,8,6,6,8,8,2019
S & J,7,3,6,8,8,2019
TNR,8,3,6,6,8,2019
TOG,8,6,6,7,8,2019
